시도,시군구,연령,성별,전체대상자수,전체수검자수,위암대상자수,위암수검자수,대장암대상자수,대장암수검자수,간암대상자수,간암수검자수,유방암대상자수,유방암수검자수,자궁경부암대상자수,자궁경부암수검자수,폐암대상자수,폐암수검자수
울산광역시,동구,70-74세,여자,2365,1398,1504,1011,2292,1140,97,67,1475,910,1477,884,3,1
울산광역시,동구,75-79세,남자,1297,606,559,339,1272,530,46,30,,,,,,
울산광역시,동구,75-79세,여자,1294,523,547,309,1266,425,37,22,521,233,522,227,,
울산광역시,동구,80-84세,남자,575,225,346,152,563,189,16,9,,,,,,
울산광역시,동구,80-84세,여자,848,244,510,154,827,188,19,13,494,100,501,108,,
울산광역시,동구,85세 이상,남자,200,36,106,16,196,30,3,0,,,,,,
울산광역시,동구,85세 이상,여자,671,64,321,23,663,43,7,2,317,17,318,18,,
울산광역시,북구,20-24세,여자,2621,860,,,,,,,,,2621,860,,
울산광역시,북구,25-29세,여자,2063,1315,,,,,,,,,2063,1315,,
울산광역시,북구,30-34세,여자,3873,2787,,,,,,,,,3873,2787,,
울산광역시,북구,35-39세,여자,3562,2593,,,,,,,,,3562,2593,,
울산광역시,북구,40-44세,남자,6254,3596,6102,3453,,,346,249,,,,,,
울산광역시,북구,40-44세,여자,6228,4943,5670,3553,,,259,202,5708,3931,5811,4117,,
울산광역시,북구,45-49세,남자,3845,2340,3558,2109,,,452,324,,,,,,
울산광역시,북구,45-49세,여자,4053,3215,3489,2299,,,287,228,3489,2394,3550,2523,,
울산광역시,북구,50-54세,남자,8433,3606,5200,2801,8080,2187,458,301,,,,,178,54
울산광역시,북구,50-54세,여자,9167,5465,5674,3592,8499,2942,356,262,5616,3708,5749,3921,1,1
울산광역시,북구,55-59세,남자,8906,3252,3863,1705,8687,2446,336,196,,,,,332,108
울산광역시,북구,55-59세,여자,7320,3884,3213,2193,6939,2639,223,172,3183,2230,3226,2319,3,2
울산광역시,북구,60-64세,남자,6458,3689,3989,2776,5999,2682,319,233,,,,,330,192
울산광역시,북구,60-64세,여자,5641,3651,3575,2514,5234,2495,190,143,3559,2521,3582,2529,2,1
울산광역시,북구,65-69세,남자,3435,2002,1512,1089,3293,1650,164,125,,,,,109,43
울산광역시,북구,65-69세,여자,3298,1928,1503,1112,3137,1453,118,92,1483,1105,1482,1061,3,1
울산광역시,북구,70-74세,남자,1921,1149,1202,819,1828,902,90,60,,,,,62,23
울산광역시,북구,70-74세,여자,2051,1136,1304,848,1956,818,66,50,1265,800,1269,769,3,1
울산광역시,북구,75-79세,남자,1133,476,433,264,1107,387,45,27,,,,,,
울산광역시,북구,75-79세,여자,1340,468,554,294,1301,341,33,21,542,249,543,224,,
울산광역시,북구,80-84세,남자,556,194,348,140,539,158,11,4,,,,,,
울산광역시,북구,80-84세,여자,1027,227,641,158,996,143,13,2,634,139,625,125,,
울산광역시,북구,85세 이상,남자,260,28,116,10,258,26,2,0,,,,,,
울산광역시,북구,85세 이상,여자,924,55,414,23,915,35,7,4,413,18,410,15,,
울산광역시,울주군,20-24세,여자,2580,842,,,,,,,,,2580,842,,
울산광역시,울주군,25-29세,여자,1808,1089,,,,,,,,,1808,1089,,
울산광역시,울주군,30-34세,여자,2917,2049,,,,,,,,,2917,2049,,
울산광역시,울주군,35-39세,여자,2451,1739,,,,,,,,,2451,1739,,
울산광역시,울주군,40-44세,남자,4764,2859,4640,2755,,,294,216,,,,,,
울산광역시,울주군,40-44세,여자,4902,3838,4388,2712,,,196,161,4467,3021,4566,3262,,
울산광역시,울주군,45-49세,남자,3771,2397,3513,2218,,,401,269,,,,,,
